k,score,concatenated
180,19851506.0,True
180,22862705.0,True
180,8178160.0,True
180,32794281.0,True
180,8666787.0,True
185,22862707.0,True
185,8178167.0,True
185,8666898.0,True
185,8178167.0,True
185,8178167.0,True
100,5965650.0,True
100,6617928.0,True
100,3364803.0,True
100,3364803.0,True
100,2844995.0,True
3000,47933164.0,True
3000,47933164.0,True
3000,47933164.0,True
3000,47933164.0,True
3000,47933164.0,True
50,305136.0,True
50,243827.0,True
50,211461.0,True
50,247152.0,True
50,391168.0,True
1100,47933164.0,True
1100,47933164.0,True
1100,47933164.0,True
1100,47933164.0,True
1100,47933164.0,True
1500,47933164.0,True
1500,47933164.0,True
1500,47933164.0,True
1500,47933164.0,True
1500,47933164.0,True
1700,47933164.0,True
1700,47933164.0,True
1700,47933164.0,True
1700,47933164.0,True
1700,47933164.0,True
1800,47933164.0,True
1800,47933164.0,True
1800,47933164.0,True
1800,47933164.0,True
1800,47933164.0,True
1300,47933164.0,True
1300,47933164.0,True
1300,47933164.0,True
1300,47933164.0,True
1300,47933164.0,True
160,8665828.0,True
160,38000197.0,True
160,8178160.0,True
160,8666780.0,True
160,22862228.0,True
165,8178160.0,True
165,38000267.0,True
165,8178154.0,True
165,8178160.0,True
165,8178146.0,True
1900,47933164.0,True
1900,47933164.0,True
1900,47933164.0,True
1900,47933164.0,True
1900,47933164.0,True
1600,47933164.0,True
1600,47933164.0,True
1600,47933164.0,True
1600,47933164.0,True
1600,47933164.0,True
750,47933164.0,True
750,47933164.0,True
750,47933164.0,True
750,47933164.0,True
750,47933164.0,True
1200,47933164.0,True
1200,47933164.0,True
1200,47933164.0,True
1200,47933164.0,True
1200,47933164.0,True
140,47931826.0,True
140,8178140.0,True
140,8178126.0,True
140,8178144.0,True
140,8178160.0,True
170,8178160.0,True
170,29334101.0,True
170,26323235.0,True
170,8178160.0,True
170,8178160.0,True
175,32794469.0,True
175,8666846.0,True
175,22862688.0,True
175,,True
175,8666821.0,True
1000,47933164.0,True
1000,47933164.0,True
1000,47933164.0,True
1000,47933164.0,True
1000,47933164.0,True
190,8666903.0,True
190,8666903.0,True
190,8666903.0,True
190,26323277.0,True
190,32794675.0,True
120,4189380.0,True
120,12958477.0,True
120,21661422.0,True
120,8033732.0,True
120,8178160.0,True
200,,True
200,,True
200,,True
200,47933036.0,True
200,,True
1400,47933164.0,True
1400,47933164.0,True
1400,47933164.0,True
1400,47933164.0,True
1400,47933164.0,True
500,47933164.0,True
500,47933164.0,True
500,47933164.0,True
500,47933164.0,True
500,47933164.0,True
